region	MC Hist	MC Now	Species	Family	Status	Growth form	Life form	Life Span	Clonality 	Spinescence	Leaf Periodicity 1=evergreen 2=deciduous 3=semi-evergreen	Dispersal mode	Pollination System	FOREST	WOODLAND	SCRUBLAND	DWARF SCRUB	NATURAL GRASSLAND	SEMI-NATURAL GRASSLAND	COASTAL DUNES	H2O FRESH	H2O SALINE	DESERT	RIPARIAN	ANTHROPOGNEIC	AGRICULTURAL	
1	1	0	Hepatica nobilis	Ranunculaceae	0	1	"3,5"	3	"                      1,3"	0	2	"?,1"	1	1	1												2
1	1	0	Heracleum maximum	Apiaceae	0	1	4	3	3	0	2	6	1					1						1			2
1	1	1	Hesperis matronalis	Brassicaceae	1	1	3	"2,3"	1	0	2	1	1		1									1			2
1	1	1	Heuchera americana	Saxifragaceae	0	1	3	3	2	0	2	1	1	1	1												2
1	0	1	Hibiscus laevis	Malvaceae	0	1	3	3	1	0	2	1	1								1						1
1	0	1	Hibiscus moscheutos	Malvaceae	0	1	3	"1,3"	1	0	2	1	1								1	1					2
1	1	1	Hibiscus trionum	Malvaceae	1	1	5	1	1	0	2	1	1						1						1		2
1	1	1	Hordeum jubatum	Poaceae	0	3	3	3	1	0	2	1	0						1		1						2
1	0	1	Hordeum pusillum	Poaceae	1	3	5	1	1	0	2	4	0						1			1		1	1		4
1	0	1	Hosta ventricosa	Agavaceae	1	1	3	3	1	0	2	1	1						1						1		2
1	1	0	Houstonia longifolia	Rubiaceae	0	1	3	3	1	0	2	1	1		1				1								2
1	0	0	Houstonia purpurea	Rubiaceae	0	1	3	3	1	0	2	1	1		1	1			1					1			4
1	0	1	Humulus japonicus	Cannabaceae	1	8	5	"1,3"	3	1	2	2	1						1						1		2
1	1	0	Humulus lupulus	Cannabaceae	0	8	4	3	3	1	2	2	1											1	1		2
1	1	1	Hybanthus concolor	Violaceae	0	1	3	3	1	0	2	1	1	1	1												2
